Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,2.330000,2.340000,2.320000,2.320000,2.295471,45290000
2021-06-14,2.320000,2.340000,2.310000,2.330000,2.305366,25792200
2021-06-15,2.330000,2.380000,2.320000,2.360000,2.335048,38515300
2021-06-16,2.360000,2.370000,2.310000,2.310000,2.285577,48024200
2021-06-17,2.300000,2.320000,2.300000,2.310000,2.285577,25261300
2021-06-18,2.300000,2.330000,2.300000,2.310000,2.285577,24822200
2021-06-21,2.300000,2.310000,2.280000,2.290000,2.265789,39979700
2021-06-22,2.300000,2.320000,2.290000,2.300000,2.275683,15631000
2021-06-23,2.310000,2.320000,2.300000,2.300000,2.275683,13888700
2021-06-24,2.300000,2.340000,2.290000,2.310000,2.285577,18669600
2021-06-25,2.320000,2.320000,2.300000,2.300000,2.275683,17989100
2021-06-28,2.310000,2.330000,2.300000,2.310000,2.285577,16588300
2021-06-29,2.300000,2.310000,2.280000,2.280000,2.255894,38877200
2021-06-30,2.290000,2.310000,2.280000,2.290000,2.265789,26128800
2021-07-01,2.290000,2.310000,2.280000,2.280000,2.255894,21485900
2021-07-02,2.280000,2.280000,2.260000,2.270000,2.246000,18505100
2021-07-05,2.270000,2.290000,2.260000,2.270000,2.246000,20758700
2021-07-06,2.270000,2.310000,2.270000,2.300000,2.275683,37068300
2021-07-07,2.310000,2.310000,2.260000,2.260000,2.236106,39300000
2021-07-08,2.260000,2.270000,2.240000,2.250000,2.226212,26996200
2021-07-09,2.250000,2.260000,2.240000,2.260000,2.236106,19098200
2021-07-12,2.280000,2.290000,2.270000,2.280000,2.255894,11503200
2021-07-13,2.290000,2.310000,2.270000,2.290000,2.265789,20825600
2021-07-14,2.290000,2.310000,2.280000,2.290000,2.265789,20706900
2021-07-15,2.290000,2.290000,2.250000,2.270000,2.246000,22456200
2021-07-16,2.280000,2.290000,2.260000,2.270000,2.246000,11173000
2021-07-19,2.250000,2.270000,2.240000,2.240000,2.216317,24089000
2021-07-21,2.260000,2.270000,2.220000,2.230000,2.206423,37086900
2021-07-22,2.240000,2.270000,2.230000,2.260000,2.236106,21616000
2021-07-23,2.250000,2.260000,2.240000,2.250000,2.226212,15783800
2021-07-26,2.240000,2.250000,2.220000,2.230000,2.206423,13625600
2021-07-27,2.240000,2.250000,2.220000,2.230000,2.206423,15455300
2021-07-28,2.240000,2.260000,2.210000,2.230000,2.206423,36089300
2021-07-29,2.250000,2.290000,2.230000,2.280000,2.255894,34729300
2021-07-30,2.270000,2.300000,2.270000,2.270000,2.246000,34752400
2021-08-02,2.280000,2.290000,2.260000,2.280000,2.255894,13342800
2021-08-03,2.280000,2.280000,2.250000,2.270000,2.246000,13022800
2021-08-04,2.260000,2.290000,2.250000,2.270000,2.270000,21587500
2021-08-05,2.270000,2.290000,2.260000,2.280000,2.280000,13608800
2021-08-06,2.270000,2.280000,2.270000,2.280000,2.280000,7996500
2021-08-10,2.290000,2.340000,2.290000,2.330000,2.330000,46518900
2021-08-11,2.340000,2.340000,2.310000,2.310000,2.310000,15311000
2021-08-12,2.330000,2.400000,2.330000,2.370000,2.370000,63690700
2021-08-13,2.380000,2.400000,2.380000,2.390000,2.390000,32248900
2021-08-16,2.380000,2.430000,2.370000,2.400000,2.400000,30773500
2021-08-17,2.400000,2.410000,2.380000,2.380000,2.380000,25759900
2021-08-18,2.390000,2.430000,2.380000,2.400000,2.400000,22404800
2021-08-19,2.380000,2.400000,2.350000,2.370000,2.370000,37155800
2021-08-20,2.380000,2.400000,2.380000,2.390000,2.390000,28809400
2021-08-23,2.400000,2.420000,2.360000,2.360000,2.360000,34851800
2021-08-24,2.380000,2.400000,2.380000,2.390000,2.390000,19623700
2021-08-25,2.390000,2.410000,2.380000,2.380000,2.380000,14866300
2021-08-26,2.380000,2.400000,2.370000,2.380000,2.380000,13031700
2021-08-27,2.370000,2.370000,2.350000,2.360000,2.360000,23148000
2021-08-30,2.350000,2.380000,2.350000,2.360000,2.360000,21424700
2021-08-31,2.350000,2.350000,2.310000,2.320000,2.320000,65612300
2021-09-01,2.330000,2.370000,2.320000,2.350000,2.350000,28135900
